3.162 0.887 1.897367 0.316228 1.000000,1
10.000 0.651 1.800000 0.600000 4.000000,1 
16.000 0.489 1.062500 0.250000 4.000000,-1 
16.155 0.510 1.299867 0.371391 5.000000,-1 
14.318 0.569 1.117488 0.279372 4.000000,-1 
10.817 0.734 1.294300 0.554700 0.000000,1 
23.022 0.561 0.651558 0.825307 0.000000,-1 
21.541 0.632 0.603510 0.928477 5.000000,-1 
21.260 0.551 1.128865 0.752577 4.000000,-1 
17.804 0.496 0.842484 0.842484 15.000000,-1 
14.318 0.653 1.117488 0.209529 0.000000,-1 
9.849 0.655 0.609208 0.913812 8.000000,1
1.000 0.981 0.000000 1.000000 0.000000,1
0.000 1.000 0.000000 0.000000 0.000000,1
8.246 0.793 1.819017 0.242536 0.000000,1
4.000 0.810 0.250000 3.500000 14.000000,1 
2.000 0.919 0.500000 2.000000 4.000000,1
7.810 0.699 1.280369 0.640184 2.000000,1 
17.464 0.588 0.515339 0.916157 0.000000,-1 
30.463 0.397 0.623706 0.919145 4.000000,-1 
25.298 0.474 0.632456 0.948683 3.000000,-1 
12.369 0.630 0.727607 0.970143 7.000000,-1 
5.831 0.659 1.714986 1.028992 6.000000,1 
3.162 0.733 2.213594 2.529822 8.000000,1
0.000 0.966 1.000000 1.000000 1.000000,1
1.000 0.862 1.000000 6.000000 6.000000,1
13.892 0.620 1.655576 0.503871 0.000000,1
11.705 0.704 1.794151 0.341743 0.000000,1
19.235 0.624 0.935775 0.467888 0.000000,1
12.083 0.723 1.241409 0.413803 1.000000,1 
12.166 0.716 1.397391 0.164399 1.000000,1
13.038 0.636 0.997054 0.076696 1.000000,1
4.123 0.752 0.485071 3.880570 16.000000,1
15.264 0.551 0.524097 0.851658 8.000000,-1 
17.000 0.546 0.705882 0.882353 5.000000,-1 
28.862 0.483 0.415775 0.970143 0.000000,-1 
23.770 0.417 0.925547 0.925547 2.000000,-1 
7.000 0.756 1.000000 1.000000 0.000000,1
0.000 1.000 0.000000 0.000000 0.000000,1
0.000 1.000 0.000000 0.000000 0.000000,1 
13.000 0.669 1.000000 0.384615 0.000000,1
14.422 0.622 1.386750 0.554700 0.000000,1
13.038 0.585 0.997054 0.076696 0.000000,1
12.530 0.579 1.117322 0.478852 1.000000,1
7.071 0.709 1.555635 1.272792 9.000000,1
14.000 0.362 1.571429 0.142857 2.000000,1
7.616 0.756 0.787839 0.919145 2.000000,1 
18.385 0.549 0.380750 0.924678 1.000000,-1 
30.806 0.314 0.454459 0.973841 14.000000,-1 
32.311 0.307 0.680883 0.928477 2.000000,-1 
31.385 0.091 0.700978 0.924017 29.000000,-1 
1.414 0.970 0.707107 0.707107 0.000000,1
1.000 0.948 2.000000 1.000000 0.000000,1
0.000 1.000 0.000000 0.000000 0.000000,1
11.045 0.676 1.448572 0.090536 0.000000,1
9.220 0.729 1.084652 0.216930 0.000000,1 
18.974 0.455 1.528434 0.316228 0.000000,1
22.136 0.307 0.993859 0.316228 2.000000,1
28.018 0.266 1.391970 0.071383 2.000000,1
16.031 0.576 1.185187 0.062378 0.000000,1
10.050 0.661 1.791067 0.099504 0.000000,1 
8.485 0.747 0.707107 0.707107 0.000000,1 
14.036 0.568 1.567435 0.071247 1.000000,1
9.434 0.738 1.377997 0.529999 0.000000,1 
16.492 0.385 1.455214 0.909509 15.000000,1
