10.817 0.734 1.294300 0.554700 0.337500,1 
23.022 0.561 0.651558 0.825307 1.647887,-1 
21.541 0.632 0.603510 0.928477 1.650794,-1 
21.260 0.551 1.128865 0.752577 2.692308,-1 
17.804 0.496 0.842484 0.842484 3.640000,-1 
14.318 0.653 1.117488 0.209529 0.411765,1 
9.849 0.655 0.609208 0.913812 1.090909,1 
3.162 0.877 0.316228 0.948683 0.035714,1
0.000 1.000 0.000000 0.000000 0.000000,1
1.000 0.981 0.000000 1.000000 0.000000,1
3.606 0.922 1.109400 0.832050 0.027397,1
17.720 0.645 1.523698 0.282166 0.614458,1
8.246 0.793 1.819017 0.242536 0.095238,1
3.162 0.922 1.581139 0.316228 0.000000,1 
8.544 0.836 0.585206 0.936329 0.065934,1
1.414 0.963 0.707107 0.707107 0.014493,1
1.000 0.945 1.000000 2.000000 0.000000,1 
1.000 0.934 1.000000 3.000000 0.000000,1
5.099 0.736 1.568929 0.784465 0.140845,1
6.000 0.702 1.000000 0.500000 0.081081,1
5.099 0.765 0.980581 0.392232 0.064103,1
7.810 0.699 1.280369 0.640184 0.166667,1 
17.464 0.588 0.515339 0.916157 0.848485,-1 
30.463 0.397 0.623706 0.919145 3.555556,-1 
25.298 0.474 0.632456 0.948683 2.162162,-1 
12.369 0.630 0.727607 0.970143 0.810811,1
1.000 0.966 1.000000 1.000000 0.000000,1
1.000 0.984 1.000000 0.000000 0.000000,1 
1.000 0.932 1.000000 3.000000 0.062500,1
1.000 0.949 1.000000 2.000000 0.031250,1 
1.000 0.862 1.000000 6.000000 0.081081,1
13.892 0.620 1.655576 0.503871 0.738462,1
11.705 0.704 1.794151 0.341743 0.328358,1
19.235 0.624 0.935775 0.467888 0.883117,1
12.530 0.666 1.197130 0.478852 0.358696,1 
13.038 0.636 0.997054 0.076696 0.000000,1
7.280 0.778 1.098885 0.274721 0.000000,1
2.236 0.926 0.447214 1.341641 0.000000,1
1.000 0.957 1.000000 1.000000 0.015152,1
2.828 0.824 0.707107 2.474874 0.063492,1
3.606 0.785 0.832050 3.050851 0.184615,1
5.000 0.738 1.600000 0.600000 0.069444,1
5.099 0.737 1.176697 0.980581 0.194805,1 
1.000 0.856 2.000000 8.000000 0.058824,1
4.000 0.773 1.500000 0.500000 0.053333,1 
15.264 0.551 0.524097 0.851658 1.066667,-1 
17.000 0.546 0.705882 0.882353 0.701754,-1 
28.862 0.483 0.415775 0.970143 2.041667,-1 
23.770 0.417 0.925547 0.925547 2.500000,-1 
7.000 0.756 1.000000 1.000000 0.000000,1
0.000 0.967 1.000000 1.000000 0.000000,1
